experiment,scenario,family,algorithm,parameter_name,parameter_value,seed,horizon,final_regret,final_reward,final_optimal_arm_rate
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42043,10000,461.86999999999995,1085.0,0.2376
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42043,10000,449.40999999999997,1104.0,0.2497
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42043,10000,400.78999999999996,1147.0,0.2894
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42043,10000,344.72999999999996,1225.0,0.3828
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42043,10000,353.9599999999999,1173.0,0.3561
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42043,10000,257.34999999999997,1316.0,0.5188
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42043,10000,204.51,1359.0,0.6093
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42043,10000,220.85999999999996,1346.0,0.5736
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42044,10000,307.31999999999994,1214.0,0.5305
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42044,10000,469.03999999999996,1080.0,0.2287
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42044,10000,452.35999999999996,1082.0,0.2379
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42044,10000,392.17999999999995,1132.0,0.3153
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42044,10000,344.03,1180.0,0.3847
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42044,10000,371.18999999999994,1161.0,0.3305
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42044,10000,263.94999999999993,1262.0,0.4778
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42044,10000,211.88,1309.0,0.586
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42044,10000,221.56999999999996,1288.0,0.5111
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42045,10000,335.8299999999999,1195.0,0.5142
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42045,10000,464.80999999999995,1062.0,0.2331
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42045,10000,447.03999999999996,1061.0,0.2475
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42045,10000,399.5799999999999,1117.0,0.3131
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42045,10000,364.59999999999997,1146.0,0.3189
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42045,10000,379.9,1146.0,0.3044
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42045,10000,269.30999999999995,1226.0,0.5005
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42045,10000,247.36999999999995,1262.0,0.4844
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42045,10000,171.21999999999997,1357.0,0.6636
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42046,10000,374.91999999999996,1125.0,0.475
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42046,10000,471.38999999999993,1053.0,0.2284
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42046,10000,455.3299999999999,1063.0,0.2457
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42046,10000,393.02,1116.0,0.3265
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42046,10000,374.85999999999996,1126.0,0.3138
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42046,10000,349.29999999999995,1158.0,0.3653
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42046,10000,298.33,1224.0,0.4456
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42046,10000,300.51,1226.0,0.3895
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42046,10000,202.64999999999998,1295.0,0.6866
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42047,10000,317.44,1170.0,0.5863
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42047,10000,467.46999999999997,1003.0,0.2284
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42047,10000,449.18999999999994,1028.0,0.2482
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42047,10000,395.15999999999997,1078.0,0.3039
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42047,10000,334.11999999999995,1160.0,0.3793
