algorithm,block,arm,freq
D-UCB,9500,4,0.17293333333333333
DS-TS,0,0,0.128
DS-TS,0,1,0.16466666666666668
DS-TS,0,2,0.1892
DS-TS,0,3,0.21793333333333334
DS-TS,0,4,0.3002
DS-TS,500,0,0.13326666666666667
DS-TS,500,1,0.15633333333333335
DS-TS,500,2,0.20413333333333333
DS-TS,500,3,0.2268
DS-TS,500,4,0.2794666666666667
DS-TS,1000,0,0.12513333333333335
DS-TS,1000,1,0.1514
DS-TS,1000,2,0.18013333333333334
DS-TS,1000,3,0.2242
DS-TS,1000,4,0.3191333333333333
DS-TS,1500,0,0.12673333333333334
DS-TS,1500,1,0.14420000000000002
DS-TS,1500,2,0.186
DS-TS,1500,3,0.20759999999999998
DS-TS,1500,4,0.3354666666666667
DS-TS,2000,0,0.12573333333333334
DS-TS,2000,1,0.15326666666666666
DS-TS,2000,2,0.19473333333333334
DS-TS,2000,3,0.23006666666666667
DS-TS,2000,4,0.29619999999999996
DS-TS,2500,0,0.1292
DS-TS,2500,1,0.1673333333333333
DS-TS,2500,2,0.18286666666666665
DS-TS,2500,3,0.2304
DS-TS,2500,4,0.29019999999999996
DS-TS,3000,0,0.125
DS-TS,3000,1,0.1624
DS-TS,3000,2,0.1792
DS-TS,3000,3,0.2054
DS-TS,3000,4,0.328
DS-TS,3500,0,0.1322
DS-TS,3500,1,0.15626666666666666
DS-TS,3500,2,0.17953333333333335
DS-TS,3500,3,0.2264
DS-TS,3500,4,0.3056
DS-TS,4000,0,0.1236
DS-TS,4000,1,0.1482
DS-TS,4000,2,0.1753333333333333
DS-TS,4000,3,0.21600000000000003
DS-TS,4000,4,0.33686666666666665
DS-TS,4500,0,0.126
DS-TS,4500,1,0.1471333333333333
DS-TS,4500,2,0.19119999999999998
DS-TS,4500,3,0.21193333333333336
DS-TS,4500,4,0.3237333333333333
DS-TS,5000,0,0.28800000000000003
DS-TS,5000,1,0.22319999999999998
DS-TS,5000,2,0.18526666666666666
DS-TS,5000,3,0.16299999999999998
DS-TS,5000,4,0.14053333333333334
DS-TS,5500,0,0.3219333333333333
DS-TS,5500,1,0.21033333333333332
DS-TS,5500,2,0.19160000000000002
DS-TS,5500,3,0.14853333333333335
DS-TS,5500,4,0.1276
DS-TS,6000,0,0.2886666666666667
DS-TS,6000,1,0.21826666666666666
DS-TS,6000,2,0.1962
DS-TS,6000,3,0.169
DS-TS,6000,4,0.12786666666666666
DS-TS,6500,0,0.27126666666666666
DS-TS,6500,1,0.23220000000000002
DS-TS,6500,2,0.19366666666666665
DS-TS,6500,3,0.17146666666666668
DS-TS,6500,4,0.13140000000000002
DS-TS,7000,0,0.2879333333333333
DS-TS,7000,1,0.24453333333333335
DS-TS,7000,2,0.17406666666666668
